resolution,users,p,unicity,trials,seconds
60min,2979,1,0.50024,20850,261
60min,2979,2,0.90537,105831,1517
60min,2979,3,0.96653,431981,6520
60min,2979,4,0.98236,1429381,23686
60min,2979,5,0.99886,100000,N/A
60min,2979,6,0.99915,100000,N/A
60min,2979,7,0.99985,100000,N/A
60min,2979,8,0.99999,100000,N/A
60min,2979,9,1.00000,100000,N/A
60min,2979,10,1.00000,100000,N/A
120min,2970,1,0.38827,15327,166
120min,2970,2,0.84545,49388,667
120min,2970,3,0.93542,116309,1261
120min,2970,4,0.96236,202951,2966
120min,2970,5,0.96740,100000,N/A
120min,2970,6,0.97024,100000,N/A
120min,2970,7,0.97941,100000,N/A
120min,2970,8,0.97281,100000,N/A
120min,2970,9,0.97377,100000,N/A
120min,2970,10,0.97211,100000,N/A
180min,2958,1,0.34516,11925,116
180min,2958,2,0.81515,26730,348
180min,2958,3,0.91152,40755,585
180min,2958,4,0.94211,42376,602
180min,2958,5,0.95272,29651,471
180min,2958,6,0.95633,13373,226
180min,2958,7,0.95762,3516,68
180min,2958,8,0.95854,410,16
240min,2937,1,0.31832,9701,95
240min,2937,2,0.80121,15831,201
240min,2937,3,0.90198,16181,232
240min,2937,4,0.93555,10163,155
240min,2937,5,0.94889,3600,64
240min,2937,6,0.95644,551,18